"ISLAMABAD: Experienced batsman Ahmed Shehzad was drafted into the World T20�bound Pakistan squad on Monday in a bid to improve the opening combination of the side after dismal display in the Asia Cup in Bangladesh.The Chairman of Pakistan Cricket Board (PCB) Shaharyar M. Khan approved the 15-member squad for the World Twenty20 starting in India on Tuesday at the recommendation of National Selection Committee, headed by Haroon Rashid, according to a PCB statement.PCB Chief Selector Haroon Rashid said while picking the squad the team management and skipper were consulted by the selectors and all concerned gave their consent in this regard.TheT20 team has been selected keeping in mind the conditions during the World T20 in India.The team is a blend of experience and youth and we believe that team will do well in the mega event, he said.The team includes Shahid Afridi (Captain), Shoaib Malik, Sarfraz Ahmed (vice captain &amp; wicket-keeper), Mohammad Hafeez, Umer Akmal, Ahmed Shehzad, Sharjeel Khan, Mohammad Nawaz, Immad Wasim, Anwar Ali, Mohammad Irfan, Mohammad Amir, Wahab Riaz, Mohammad Sami and Khalid Latif.The team management includes Intikhab Alam (team manager), Waqar Younis (head coach), Azhar Mahmood (bowling coach), Grant William Flower (batting coach), Grant Trafford Luden (fielding coach-cum-trainer), Dr. Sohail Saleem (physiotherapist), Shahid Aslam (assistant team manager), Col. (r) Azam Khan (security manager), Agha Akbar (media manager), Talah Ejaz (analyst) and Malang Ali (masseur).��",3/7/2016,Ahmed Shehzad recalled in World T20 bound squad,sports
strong>ISLAMABAD: The giant search engine Google has dedicated its doodle to mark the start of the ICC T20 Cricket World Cup 2016.</strongThe extravaganza will kick start from Tuesday and end on April 3. The event will be held across seven venues in India with 16 teams taking part in it.The doodle shows an amazing bird�s eye view of a jam packed cricket stadium while the two teams are playing the match and audience are cheering them.The crowd can be seen supporting both the teams.A huge Google banner can also be witnessed in the background.A click on the doodle directs the users to a new page consisting of the entire schedule of the upcoming matches.In the first match Zimbabwe will take on Hong Kong in Nagpur while in the second match Scotland will face Afghanistan at the same venue.The epic encounter of the event will be held between traditional rivals India and Pakistan on March 19 at Dharamshala.,3/7/2016,Google dedicates its doodle to T20 World Cu,sports
"strong>LAHORE: Twenty20 skipper Shahid Khan Afridi has been stopped from speaking to the media, a day after Pakistan Cricket Board (PCB) expressed annoyance over his latest tweets seeking Prime Minister Nawaz Sharif's direct help in cricketing affairs.</strongIn a brief conversation upon his arrival following a dismal team performance in the Asia Cup, Afridi had said that he would be staying in Karachi for a couple of days and would speak to the media later in a press conference.But sources privy to the developments at the cricket board said that the PCB has stopped the T20 captain from holding any presser.The news comes a day after the board expressed annoyance over his most recent tweets, in which he had asked the prime minister to intervene and look into �barriers preventing talent from the grass root level to rise�.",3/7/2016,Afridi stopped from speaking to medi,sports
"strong>MUMBAI: The International Cricket Council's anti-corruption unit has prevented a potential spot-fixing scandal and is investigating an international team for alleged attempts to manipulate future matches, the chief of the unit has said.</strongWhile revealing news of the probe, ICC anti-corruption unit head Ronnie Flanagan would not disclose details of the case as members of the international side are still being investigated.""It will be very difficult for me to talk about specific details about an ongoing case, but quite recently we have a reason to believe that members of a particular team have intentions to manipulate events in forthcoming matches,"" Flanagan told reporters in Mumbai ahead of the World Twenty20.""This was an international team but I am not going to go into any details because it is still under our investigation.""Certain individuals, we believed, had intention to manipulate events to facilitate betting on those events.""",3/7/2016,ICC launches corruption probe on international ,sports
"strong>ISLAMABAD: A team of Pakistani security experts arrived in India on Monday to examine security arrangements ahead of Pakistan cricket team departure for World Cup Twenty20 starting March 08.</strongPakistan government has linked cricket team participation in World T20 tournament with security clearance after Hindu extremists threatened to dig up pitch of Dharmasala stadium, where Pakistan would clash arch rival India on March 19.A three member-team headed by Usman Anwar, a director of the Federal Investigation Agency (FIA), was set up after a meeting between Prime Minister Nawaz Sharif and Interior Minister Chaudhry Nisar Ali Khan.Two members of the security delegation � FIA senior Director Usman Anwar and Pakistan Cricket Board (PCB) chief security Officer Col (R) Azam � reached the Wagah border crossing Monday morning from where they crossed over into India.The third member of the security team � Ubaid Nizamani, an official from the Pakistan High Commission � is already present in India.",3/7/2016,Pakistan security team in India to assess WT20 security arrang,sports
"strong>LOS ANGELES: Former tennis world number one Maria Sharapova will be holding a news conference in Los Angeles on Monday to make ""a major announcement"", though no other details were given by her manager on Sunday.</strongSharapova's management company, IMG, declined to tell Reuters via email what topic had prompted the news conference but added: ""It will be very big news.""Monday's announcement will come just four days after Sharapova said she was withdrawing from this month's BNP Paribas Open at Indian Wells in California due to a persistent arm injury.The five-times grand slam champion has been troubled by her left forearm since the start of the year when she pulled out of an Australian Open warm-up tournament in Brisbane.Sharapova lost to Serena Williams in the quarter-finals of the Australian Open in January and has not competed since then.The 28-year-old Russian has suffered from assorted injuries over the past decade, and required shoulder surgery in 2008 that led to her being sidelined for nine months.Sharapova also missed the second half of the 2013 season because of a shoulder injury.Currently ranked seventh, Sharapova claimed her most recent grand slam crown at the 2014 French Open and has won 35 career titles on the WTA Tour.She has numerous business interests off the court, including a very successful apparel collection.",3/7/2016,Sharapova set to make major annou,sports
"ISLAMABAD: Imran Khan, Pakistani cricket legend and the chairman of Pakistan Tehreek-e-Insaf �has advised the Pakistani cricket team against playing in the forthcoming ICC World T20 because of hateful comments by the Himachal Pradesh chief minister.Imran Khan believed that the representatives of the Indian government are promoting tension and hate between the neighbouring countries.�The statement by the Himachal Pradesh Chief Minister is an irresponsible one and is totally against the standards of hospitality and hosting,� Khan said.Pakistan are scheduled to play arch�rivals India at the Himachal Pradesh Cricket Association ground in Dharamsala in their second World T20 fixture on March 19.The government of the northern state of Himachal Pradesh refused to provide security for the upcoming World T20 tie citing a January attack on an Indian army base.Chief Minister Virbhadra Singh said last Sunday that the match should be moved to another venue out of respect for the martyrs killed in the assault by Pakistani militants on an Indian air force base in neighbouring Punjab.We are not willing to provide security for the match, a senior state government official told on condition of anonymity.�It s just one match that we are bothered about because it involves Pakistan and our decision reflects the sentiments of the people of Himachal�.Indian cricket board secretary Anurag Thakur accused the state of playing politics and said the country regularly provided security for Pakistani sportsmen and women.The venues of the World Cup matches were decided one year ago and the allotment of matches was decided six months ago, said Thakur.By claiming that you cannot provide security, you are only giving credence to Pakistani claims that there is a security threat to their team in India. It� s about the country� s image. ",3/7/2016,Pakistan should not play Dharamsala T20 Imran K,sports
"strong>Five-times grand slam champion Maria Sharapova�s failed drug test at this year�s Australian Open provoked a flurry of reaction on social media and beyond.</strongWhile most expressed shock and some sympathy for the Russian former world number one, others were less charitable, including three-times grand slam champion Jennifer Capriati.strong>FORMER WORLD NO.1 �JENNIFER CAPRIATI ON TWITTER</strong>""I�m extremely angry and disappointed. I had to lose my career and never opted to cheat no matter what. I had to throw in the towel and suffer.""I didn�t have the high priced team of drs that found a way for me to cheat and get around the system and wait for science to catch up.The responses are exactly what i am talking about. Everything based on illusion and lie driven by the media for over 20 yrs. Beyond unfair.strong>""TENNIS GREAT MARTINA NAVRATILOVA ON TWITTER</strong>""Hold your horses everyone - about Maria - I don�t have all the facts, I hope it�s an honest mistake, stuff was legal as far as I know till 2015.strong>""FORMER PLAYER JAMES BLAKE ON TWITTER</strong> ""Wow. Classy of @MariaSharapova to hold a press conference for this and admit making a mistake. Definitely agree that have to be aware though"".strong>CURRENT AMERICAN PLAYER RYAN HARRISON on TWITTER </strong>""Maria handled that so well"". In my opinion, honest mistake from a great champion"".strong>FORMER TOP 10 PLAYER AND COACH BRAD GILBERT</strong> ""Still stunned that nobody on Shazza team checked new list from WADA, players are responsible but this is big time oversight on team as well.strong>""AUSTRALIAN PLAYER MATT EBDEN</strong> ""Doesn�t look that innocent for Sharapova or whoever else took it, this Meldonium stuff but who knows?""strong>BRITISH OLYMPIC HEPTATHLON BRONZE MEDALLIST KELLY SOTHERTON</strong> ""I�m pretty sure if this was a track and field athlete they�d be getting a much rawer deal than Sharapova. However it is what it is.#Sharapova"".strong>SEVEN-TIME GRAND SLAM SINGLES CHAMPION JUSTINE HENIN</strong> ""Some questions still have to be asked and it�s very difficult at the moment to give an opinion. What I can say is it�s not good for the game. ""Rules are important, rules have to be respected so that�s the thing we can say today. But I am still a little bit sad about all of this"".strong>RUSSIAN FORMER WORLD NO. 1 MARAT SAFIN</strong> ""The situation is pretty difficult but I think there is a lot we still have to understand. It can be a mistake. But it depends how they (investigators) take it and how they feel about the situation"".�",3/8/2016,Reactions to Maria Sharapovas positive dope ,sports
"NAGPUR: Afghanistan stretched their T20I record against Scotland to 6-0 with a 14-run win facilitated by their explosive opener Mohammad Shahzad and a spin-heavy attack to defend 170.Scotland were well on course in the chase after their openers packed a powerful stand of 84 runs in under nine overs, but the Afghanistan spinners dismissed the openers and then strangled the middle order to throw the chase off track.Scotland needed 77 runs from the half-way mark with eight wickets in hand but the Afghanistan spinners lived up to their captain's decision of batting first to allow the slower bowlers to do their work later on.On what looked like a slower pitch after the opening match in Nagpur, the two teams were set for much stronger totals after the platforms laid by their top orders. But both innings were jolted in the middle overs and Afghanistan eventually prevailed to start their World T20 campaign with a win, to bury memories of their Asia Cup opening-match loss against UAE last month.Shahzad started in his usual aggressive fashion and overcame some improvised bowling from the Scotland pacers in the Powerplay to cut loose later on.Shahzad and Noor Ali Zadran provided a flying start by putting on 25 in under three overs before Noor Ali steered a short ball straight to third man.Shahzad followed that by targeting the leg-side and straight boundaries to race towards a 32-ball fifty, his ninth in T20Is.�",3/8/2016,Afghanistan defeat Scotland by 14 ru,sports
"LAHORE: The Pakistan security team will submit its report Wednesday on security situation in Dharamsala upon its return from India regarding Pak team�s participation in the World T20 Cup.The team which is returning home tomorrow will submit its report on the same day and a decision is likely to be taken on the same evening that Pakistan team will travel to India or not, said a spokesman of Pakistan Cricket Board while talking to APP on Tuesday.The three-member team, comprising Director FIA Lahore Usman Anwar, Col retd Azam and Ubaid Nizamani, is currently in Dharamsala to assess the security arrangements for the Pakistan men and women�s team in the upcoming World T20 Cup.The security team was constituted by the Pakistan Government after Himachal Pradesh Chief Minister Virbhadra Sindh expressed his state government difficulty to provide security to the Pakistan team which is scheduled to play India on March 19 at Dharamsaala .The government had initially granted the PCB permission to play in India but the board decided to put the visit on hold until they are guaranteed foolproof security of Pak team in India said the spokesman.He said the safety and security of the Pak team is very important for the PCB and no compromise can be made on it as PCB wants to ensure that the situation is conducive for its teams participation specially when it is playing in India.He said the security team soon after its return will submit its report to the concerned quarters and a decision will be taken in light of the recommendations to be made by the security team.World Cup is an important event for PCB but at the same time we want to make sure that if our team plays in India it has no added pressure in terms of security he said.He said that it is the responsibility of the Indian government to ensure security of the Pakistan team as the World T20 is an international tournament.He said decision regarding teams participation in the Cup will be made by the Government and will be communicated to the PCB .When asked about a possible delay in the departure of the Pak team to India the spokesman said it is too early to say on it as we have to wait the decision of the Government as the top most priority is to ensure that Pak team is safe in India.PCB chairman Shaharyar Khan had stated said that the threats against the Pakistan team are specific and threatened to pull out of the tournament unless the PCB gets a clear message about the security situation from the Indian government.He also urged India to publicly acknowledge Pakistan�s participation in the tournament and to also promise full security to their cricket team.�",3/8/2016,Pak security team to submit its report on Wednesday,sports
